2021-05-02 19:27:44,982 | root | INFO |  ------------------------ Starting new upload ------------------------ 
2021-05-02 19:29:08,371 | root | INFO | GET Request: {'movie_results': [], 'person_results': [], 'tv_results': [], 'tv_episode_results': [], 'tv_season_results': []}
2021-05-02 19:29:08,600 | root | INFO | GET Request: https://api.themoviedb.org/3/movie/None?api_key=2f426445f1e6100085f45800bfa7dccf
2021-05-02 19:29:08,653 | root | INFO | Using /home/madskillz/TROUT.1080p/Aamchya.Sarkhe.Aamhich.1990.AMZN.WEB-DL.1080p.DDP.2.0-TROUT.mkv to generate screenshots
2021-05-02 19:29:09,270 | root | INFO | Taking a screenshot at 00:34:43
2021-05-02 19:29:10,044 | root | INFO | Taking a screenshot at 01:09:27
2021-05-02 19:29:10,740 | root | INFO | Taking a screenshot at 01:44:11
2021-05-02 19:29:19,851 | root | INFO | All 3 images have been upload to freeimage
2021-05-02 19:29:19,851 | root | INFO | We've uploaded 3 to freeimage
2021-05-02 19:29:19,857 | root | INFO | Now starting tracker specific tasks
2021-05-02 19:29:19,858 | root | INFO | Trying to upload to: BHD
2021-05-02 19:29:20,073 | root | INFO | Creating the .torrent file now
2021-05-02 19:29:20,074 | root | INFO | announce url: https://beyond-hd.me/announce/
2021-05-02 19:29:20,074 | root | INFO | Existing .torrent file does not exist so we need to generate a new one
2021-05-02 19:29:24,754 | root | INFO | Trying to write into [BHD]Aamchya Sarkhe Aamhich 1990 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent
2021-05-02 19:29:24,754 | root | INFO | Successfully created the following file: /home/madskillz/xpbot/temp_upload/BHD-Aamchya Sarkhe Aamhich 1990 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent
2021-05-02 19:29:24,754 | root | INFO | Upload live status: Draft (Hidden)
2021-05-02 19:29:24,754 | root | INFO | Uploading anonymously
2021-05-02 19:29:24,755 | root | INFO | Attempting to upload to: BHD
2021-05-02 19:29:26,815 | root | INFO | Payload for BHD is {'name': 'Aamchya Sarkhe Aamhich 1990 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT', 'description': '[center]With a name like TROUT, it has to be good[url=https://freeimage.host/i/BCD8Vn][img=300x300]https://iili.io/BCD8Vn.md.png[/img][/url] [url=https://freeimage.host/i/BCDSPs][img=300x300]https://iili.io/BCDSPs.md.png[/img][/url] [url=https://freeimage.host/i/BCDgKG][img=300x300]https://iili.io/BCDgKG.md.png[/img][/url] https://beyondhd.co/images/2021/05/02/16c799ec3d39a8b9d2448f880acf3f24.png[br][/br][/center]', 'live': '0', 'anon': '1', 'category_id': '1', 'type': '1080p', 'source': 'WEB', 'imdb_id': '0267258', 'tmdb_id': None, 'tags': 'WEBDL'}
2021-05-02 19:29:26,815 | root | INFO | Files for BHD is [('file', <_io.BufferedReader name='/home/madskillz/xpbot/temp_upload/BHD-Aamchya Sarkhe Aamhich 1990 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent'>), ('mediainfo', <_io.BufferedReader name='/home/madskillz/xpbot/temp_upload/mediainfo.txt'>)]
2021-05-02 19:29:27,042 | root | INFO | POST Request: https://beyond-hd.me/api/upload/ea9b32385ca9869a839466b2aa9cdc9d
2021-05-02 19:29:27,042 | root | INFO | Response code: 200
2021-05-02 19:29:27,042 | root | INFO | upload response for BHD: b'{"status_code":1,"status_message":"Draft has been successfully saved.","success":true}'
2021-05-02 19:29:27,042 | root | INFO | Upload to BHD was a success!
2021-05-02 19:29:27,111 | root | INFO | Total runtime is 21.2209 seconds
2021-05-02 19:34:21,312 | root | INFO |  ------------------------ Starting new upload ------------------------ 
2021-05-02 19:34:22,414 | root | INFO | Running in regular '-path' mode, starting upload now
2021-05-02 19:34:22,422 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/temp_upload/
2021-05-02 19:34:22,425 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/images/screenshots/
2021-05-02 19:34:22,425 | root | INFO | uploading the following file: /home/madskillz/TROUT.1080p/Aamchya.Sarkhe.Aamhich.1990.AMZN.WEB-DL.1080p.DDP.2.0-TROUT.mkv
2021-05-02 19:34:23,150 | root | INFO | Used pymediainfo to identify the video_codec: H.264
2021-05-02 19:34:23,191 | root | INFO | Used (pymediainfo + audio_codec_dict) to identify the audio codec: DDP
2021-05-02 19:34:23,243 | root | INFO | Generating mediainfo.txt
2021-05-02 19:34:23,244 | root | INFO | Using the following path in mediainfo.txt: Aamchya.Sarkhe.Aamhich.1990.AMZN.WEB-DL.1080p.DDP.2.0-TROUT.mkv
2021-05-02 19:34:23,288 | root | INFO | Saving mediainfo to: /home/madskillz/xpbot/temp_upload/mediainfo.txt
2021-05-02 19:34:23,302 | root | INFO | Used Regex to extract the WEB Source: AMZN
2021-05-02 19:34:23,303 | root | INFO | No custom 'edition' found for this torrent
2021-05-02 19:34:23,303 | root | INFO | We are missing 'tmdb' starting TMDB API request now
2021-05-02 19:34:23,371 | root | INFO | GET Request: {'movie_results': [], 'person_results': [], 'tv_results': [], 'tv_episode_results': [], 'tv_season_results': []}
2021-05-02 19:34:23,519 | root | INFO | GET Request: https://api.themoviedb.org/3/movie/None?api_key=2f426445f1e6100085f45800bfa7dccf
2021-05-02 19:34:23,578 | root | INFO | Using /home/madskillz/TROUT.1080p/Aamchya.Sarkhe.Aamhich.1990.AMZN.WEB-DL.1080p.DDP.2.0-TROUT.mkv to generate screenshots
2021-05-02 19:34:24,172 | root | INFO | Taking a screenshot at 00:19:50
2021-05-02 19:34:24,711 | root | INFO | Taking a screenshot at 00:39:41
2021-05-02 19:34:25,339 | root | INFO | Taking a screenshot at 00:59:32
2021-05-02 19:34:25,977 | root | INFO | Taking a screenshot at 01:19:22
2021-05-02 19:34:26,536 | root | INFO | Taking a screenshot at 01:39:13
2021-05-02 19:34:27,256 | root | INFO | Taking a screenshot at 01:59:04
2021-05-02 19:34:47,914 | root | INFO | All 6 images have been upload to freeimage
2021-05-02 19:34:47,915 | root | INFO | We've uploaded 6 to freeimage
2021-05-02 19:34:47,924 | root | INFO | Now starting tracker specific tasks
2021-05-02 19:34:47,924 | root | INFO | Trying to upload to: BHD
2021-05-02 19:34:48,055 | root | INFO | Creating the .torrent file now
2021-05-02 19:34:48,056 | root | INFO | announce url: https://beyond-hd.me/announce/
2021-05-02 19:34:48,056 | root | INFO | Existing .torrent file does not exist so we need to generate a new one
2021-05-02 19:34:52,716 | root | INFO | Trying to write into [BHD]Aamchya Sarkhe Aamhich 1990 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent
2021-05-02 19:34:52,716 | root | INFO | Successfully created the following file: /home/madskillz/xpbot/temp_upload/BHD-Aamchya Sarkhe Aamhich 1990 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent
2021-05-02 19:34:52,716 | root | INFO | Upload live status: Draft (Hidden)
2021-05-02 19:34:52,716 | root | INFO | Uploading anonymously
2021-05-02 19:34:52,716 | root | INFO | Attempting to upload to: BHD
2021-05-02 19:34:55,570 | root | INFO | Payload for BHD is {'name': 'Aamchya Sarkhe Aamhich 1990 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT', 'description': '[center]With a name like TROUT, it has to be good[br][/br][url=https://freeimage.host/i/BCDmKb][img=300x300]https://iili.io/BCDmKb.md.png[/img][/url] [url=https://freeimage.host/i/BCDplj][img=300x300]https://iili.io/BCDplj.md.png[/img][/url] [url=https://freeimage.host/i/BCDyUx][img=300x300]https://iili.io/BCDyUx.md.png[/img][/url] [url=https://freeimage.host/i/BCbHHQ][img=300x300]https://iili.io/BCbHHQ.md.png[/img][/url] [url=https://freeimage.host/i/BCbJRV][img=300x300]https://iili.io/BCbJRV.md.png[/img][/url] [url=https://freeimage.host/i/BCbdOB][img=300x300]https://iili.io/BCbdOB.md.png[/img][/url] [img]https://beyondhd.co/images/2021/05/02/16c799ec3d39a8b9d2448f880acf3f24.png[/img][br][/br][/center]', 'live': '0', 'anon': '1', 'category_id': '1', 'type': '1080p', 'source': 'WEB', 'imdb_id': '0267258', 'tmdb_id': None, 'tags': 'WEBDL'}
2021-05-02 19:34:55,570 | root | INFO | Files for BHD is [('file', <_io.BufferedReader name='/home/madskillz/xpbot/temp_upload/BHD-Aamchya Sarkhe Aamhich 1990 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent'>), ('mediainfo', <_io.BufferedReader name='/home/madskillz/xpbot/temp_upload/mediainfo.txt'>)]
2021-05-02 19:34:55,828 | root | INFO | POST Request: https://beyond-hd.me/api/upload/ea9b32385ca9869a839466b2aa9cdc9d
2021-05-02 19:34:55,828 | root | INFO | Response code: 200
2021-05-02 19:34:55,828 | root | INFO | upload response for BHD: b'{"status_code":1,"status_message":"Draft has been successfully saved.","success":true}'
2021-05-02 19:34:55,828 | root | INFO | Upload to BHD was a success!
2021-05-02 19:34:55,902 | root | INFO | Total runtime is 34.5892 seconds
2021-05-02 21:21:06,997 | root | INFO |  ------------------------ Starting new upload ------------------------ 
2021-05-02 21:21:08,332 | root | INFO | Running in regular '-path' mode, starting upload now
2021-05-02 21:21:08,334 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/temp_upload/
2021-05-02 21:21:08,339 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/images/screenshots/
2021-05-02 21:21:08,339 | root | INFO | uploading the following file: /home/madskillz/TROUT.1080p/Ghastlies.2016.AMZN.WEB-DL.1080p.DDP.2.0.H.264-TROUT.mkv
2021-05-02 21:21:09,599 | root | INFO | Used regex to identify the video_codec: H.264
2021-05-02 21:21:09,634 | root | INFO | Used (pymediainfo + audio_codec_dict) to identify the audio codec: DDP
2021-05-02 21:21:09,669 | root | INFO | Generating mediainfo.txt
2021-05-02 21:21:09,669 | root | INFO | Using the following path in mediainfo.txt: Ghastlies.2016.AMZN.WEB-DL.1080p.DDP.2.0.H.264-TROUT.mkv
2021-05-02 21:21:09,709 | root | INFO | Saving mediainfo to: /home/madskillz/xpbot/temp_upload/mediainfo.txt
2021-05-02 21:21:09,726 | root | INFO | Used Regex to extract the WEB Source: AMZN
2021-05-02 21:21:09,727 | root | INFO | No custom 'edition' found for this torrent
2021-05-02 21:21:09,727 | root | INFO | We are missing both the 'TMDB' & 'IMDB' ID, trying to identify it via title & year
2021-05-02 21:21:10,281 | root | INFO | GET Request: https://api.themoviedb.org/3/search/movie?api_key=2f426445f1e6100085f45800bfa7dccf&query=Ghastlies&page=1&include_adult=false&year=2016
2021-05-02 21:21:10,281 | root | INFO | total number of results for TMDB search: 1
2021-05-02 21:21:13,627 | root | INFO | GET Request: https://api.themoviedb.org/3/movie/474810/external_ids?api_key=2f426445f1e6100085f45800bfa7dccf&language=en-US
2021-05-02 21:21:14,070 | root | INFO | GET Request: https://api.themoviedb.org/3/movie/474810?api_key=2f426445f1e6100085f45800bfa7dccf
2021-05-02 21:21:14,071 | root | INFO | Using the title we got from TMDB: Ghastlies
2021-05-02 21:21:14,108 | root | INFO | Using /home/madskillz/TROUT.1080p/Ghastlies.2016.AMZN.WEB-DL.1080p.DDP.2.0.H.264-TROUT.mkv to generate screenshots
2021-05-02 21:21:15,401 | root | INFO | Taking a screenshot at 00:10:50
2021-05-02 21:21:15,888 | root | INFO | Taking a screenshot at 00:21:40
2021-05-02 21:21:16,290 | root | INFO | Taking a screenshot at 00:32:30
2021-05-02 21:21:16,700 | root | INFO | Taking a screenshot at 00:43:20
2021-05-02 21:21:17,466 | root | INFO | Taking a screenshot at 00:54:11
2021-05-02 21:21:18,126 | root | INFO | Taking a screenshot at 01:05:01
2021-05-02 21:21:33,069 | root | INFO | All 6 images have been upload to freeimage
2021-05-02 21:21:33,069 | root | INFO | We've uploaded 6 to freeimage
2021-05-02 21:21:33,078 | root | INFO | Now starting tracker specific tasks
2021-05-02 21:21:33,078 | root | INFO | Trying to upload to: BHD
2021-05-02 21:21:33,997 | root | INFO | Creating the .torrent file now
2021-05-02 21:21:33,997 | root | INFO | announce url: https://beyond-hd.me/announce/
2021-05-02 21:21:33,997 | root | INFO | Existing .torrent file does not exist so we need to generate a new one
2021-05-02 21:21:35,577 | root | INFO | Trying to write into [BHD]Ghastlies 2016 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent
2021-05-02 21:21:35,577 | root | INFO | Successfully created the following file: /home/madskillz/xpbot/temp_upload/BHD-Ghastlies 2016 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent
2021-05-02 21:21:35,577 | root | INFO | Upload live status: Draft (Hidden)
2021-05-02 21:21:35,577 | root | INFO | Uploading anonymously
2021-05-02 21:21:35,577 | root | INFO | Attempting to upload to: BHD
2021-05-02 21:21:38,154 | root | INFO | Payload for BHD is {'name': 'Ghastlies 2016 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT', 'description': '[center][quote][size=16]With a name like [color=#3774F6][b]TROUT[/b][/color], it has to be good[/size][/quote][br][/br][br][/br][br][/br][url=https://freeimage.host/i/Bn9aQS][img=300x300]https://iili.io/Bn9aQS.md.png[/img][/url] [url=https://freeimage.host/i/Bn9lC7][img=300x300]https://iili.io/Bn9lC7.md.png[/img][/url] [url=https://freeimage.host/i/Bn90G9][img=300x300]https://iili.io/Bn90G9.md.png[/img][/url] [url=https://freeimage.host/i/Bn914e][img=300x300]https://iili.io/Bn914e.md.png[/img][/url] [url=https://freeimage.host/i/Bn9G3u][img=300x300]https://iili.io/Bn9G3u.md.png[/img][/url] [url=https://freeimage.host/i/Bn9MYb][img=300x300]https://iili.io/Bn9MYb.md.png[/img][/url] [br][/br][br][/br][br][/br][br][/br][img]https://beyondhd.co/images/2021/05/02/6d61ce3c20451cdc3267f9879b9485e1.png[/img][/center]', 'live': '0', 'anon': '1', 'category_id': '1', 'type': '1080p', 'source': 'WEB', 'imdb_id': '5372302', 'tmdb_id': '474810', 'tags': 'WEBDL'}
2021-05-02 21:21:38,155 | root | INFO | Files for BHD is [('file', <_io.BufferedReader name='/home/madskillz/xpbot/temp_upload/BHD-Ghastlies 2016 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent'>), ('mediainfo', <_io.BufferedReader name='/home/madskillz/xpbot/temp_upload/mediainfo.txt'>)]
2021-05-02 21:21:39,161 | root | INFO | POST Request: https://beyond-hd.me/api/upload/ea9b32385ca9869a839466b2aa9cdc9d
2021-05-02 21:21:39,161 | root | INFO | Response code: 200
2021-05-02 21:21:39,161 | root | INFO | upload response for BHD: b'{"status_code":1,"status_message":"Draft has been successfully saved.","success":true}'
2021-05-02 21:21:39,161 | root | INFO | Upload to BHD was a success!
2021-05-02 21:21:39,216 | root | INFO | Total runtime is 32.2181 seconds
2021-05-04 14:21:47,843 | root | INFO |  ------------------------ Starting new upload ------------------------ 
2021-05-04 14:21:49,448 | root | INFO | Running in regular '-path' mode, starting upload now
2021-05-04 14:21:49,451 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/temp_upload/
2021-05-04 14:21:49,454 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/images/screenshots/
2021-05-04 14:21:49,455 | root | INFO | uploading the following file: /home/madskillz/TROUT.1080p/Pinkfong.50.Best.Hits.Baby.Shark.and.More.2019.AMZN.WEB-DL.1080p.DDP.2.0.H.264-TROUT.mkv
2021-05-04 14:21:50,655 | root | INFO | Used regex to identify the video_codec: H.264
2021-05-04 14:21:50,683 | root | INFO | Used (pymediainfo + audio_codec_dict) to identify the audio codec: DDP
2021-05-04 14:21:50,710 | root | INFO | Generating mediainfo.txt
2021-05-04 14:21:50,710 | root | INFO | Using the following path in mediainfo.txt: Pinkfong.50.Best.Hits.Baby.Shark.and.More.2019.AMZN.WEB-DL.1080p.DDP.2.0.H.264-TROUT.mkv
2021-05-04 14:21:50,736 | root | INFO | Saving mediainfo to: /home/madskillz/xpbot/temp_upload/mediainfo.txt
2021-05-04 14:21:50,754 | root | INFO | Used Regex to extract the WEB Source: AMZN
2021-05-04 14:21:50,755 | root | INFO | No custom 'edition' found for this torrent
2021-05-04 14:21:50,755 | root | INFO | We are missing both the 'TMDB' & 'IMDB' ID, trying to identify it via title & year
2021-05-04 14:21:51,234 | root | INFO | GET Request: https://api.themoviedb.org/3/search/movie?api_key=2f426445f1e6100085f45800bfa7dccf&query=Pinkfong 50 Best Hits Baby Shark and More&page=1&include_adult=false&year=2019
2021-05-04 14:21:51,234 | root | CRITICAL | No results found on TMDB using the title 'Pinkfong 50 Best Hits Baby Shark and More' and the year '2019'
2021-05-04 14:22:19,226 | root | INFO |  ------------------------ Starting new upload ------------------------ 
2021-05-04 14:22:21,100 | root | INFO | Running in regular '-path' mode, starting upload now
2021-05-04 14:22:21,101 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/temp_upload/
2021-05-04 14:22:21,101 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/images/screenshots/
2021-05-04 14:22:21,101 | root | INFO | uploading the following file: /home/madskillz/TROUT.1080p/Pinkfong.50.Best.Hits.Baby.Shark.and.More.2019.AMZN.WEB-DL.1080p.DDP.2.0.H.264-TROUT.mkv
2021-05-04 14:22:21,891 | root | INFO | Used regex to identify the video_codec: H.264
2021-05-04 14:22:21,919 | root | INFO | Used (pymediainfo + audio_codec_dict) to identify the audio codec: DDP
2021-05-04 14:22:21,947 | root | INFO | Generating mediainfo.txt
2021-05-04 14:22:21,947 | root | INFO | Using the following path in mediainfo.txt: Pinkfong.50.Best.Hits.Baby.Shark.and.More.2019.AMZN.WEB-DL.1080p.DDP.2.0.H.264-TROUT.mkv
2021-05-04 14:22:21,974 | root | INFO | Saving mediainfo to: /home/madskillz/xpbot/temp_upload/mediainfo.txt
2021-05-04 14:22:21,995 | root | INFO | Used Regex to extract the WEB Source: AMZN
2021-05-04 14:22:21,997 | root | INFO | No custom 'edition' found for this torrent
2021-05-04 14:22:21,997 | root | INFO | We are missing 'tmdb' starting TMDB API request now
2021-05-04 14:22:22,420 | root | INFO | GET Request: {'movie_results': [], 'person_results': [], 'tv_results': [], 'tv_episode_results': [], 'tv_season_results': []}
2021-05-04 14:22:23,135 | root | INFO | GET Request: https://api.themoviedb.org/3/movie/None?api_key=2f426445f1e6100085f45800bfa7dccf
2021-05-04 14:22:23,168 | root | INFO | Using /home/madskillz/TROUT.1080p/Pinkfong.50.Best.Hits.Baby.Shark.and.More.2019.AMZN.WEB-DL.1080p.DDP.2.0.H.264-TROUT.mkv to generate screenshots
2021-05-04 14:22:24,610 | root | INFO | Taking a screenshot at 00:09:05
2021-05-04 14:22:25,031 | root | INFO | Taking a screenshot at 00:18:11
2021-05-04 14:22:25,598 | root | INFO | Taking a screenshot at 00:27:17
2021-05-04 14:22:25,974 | root | INFO | Taking a screenshot at 00:36:23
2021-05-04 14:22:26,377 | root | INFO | Taking a screenshot at 00:45:29
2021-05-04 14:22:26,862 | root | INFO | Taking a screenshot at 00:54:35
2021-05-04 14:22:38,458 | root | INFO | All 6 images have been upload to freeimage
2021-05-04 14:22:38,458 | root | INFO | We've uploaded 6 to freeimage
2021-05-04 14:22:38,465 | root | INFO | Now starting tracker specific tasks
2021-05-04 14:22:38,465 | root | INFO | Trying to upload to: BHD
2021-05-04 14:22:39,264 | root | INFO | Creating the .torrent file now
2021-05-04 14:22:39,264 | root | INFO | announce url: https://beyond-hd.me/announce/
2021-05-04 14:22:39,264 | root | INFO | Existing .torrent file does not exist so we need to generate a new one
2021-05-04 14:22:40,495 | root | INFO | Trying to write into [BHD]Pinkfong 50 Best Hits Baby Shark and More 2019 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent
2021-05-04 14:22:40,495 | root | INFO | Successfully created the following file: /home/madskillz/xpbot/temp_upload/BHD-Pinkfong 50 Best Hits Baby Shark and More 2019 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent
2021-05-04 14:22:40,495 | root | INFO | Upload live status: Draft (Hidden)
2021-05-04 14:22:40,495 | root | INFO | Uploading anonymously
2021-05-04 14:22:40,495 | root | INFO | Attempting to upload to: BHD
2021-05-04 14:23:48,266 | root | INFO | Payload for BHD is {'name': 'Pinkfong 50 Best Hits Baby Shark and More 2019 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT', 'description': '[center][quote][size=16]With a name like [color=#3774F6][b]TROUT[/b][/color], it has to be good[/size][/quote][br][/br][br][/br][br][/br][url=https://freeimage.host/i/Bo4cZb][img=300x300]https://iili.io/Bo4cZb.md.png[/img][/url] [url=https://freeimage.host/i/Bo40nj][img=300x300]https://iili.io/Bo40nj.md.png[/img][/url] [url=https://freeimage.host/i/Bo41Mx][img=300x300]https://iili.io/Bo41Mx.md.png[/img][/url] [url=https://freeimage.host/i/Bo4E6Q][img=300x300]https://iili.io/Bo4E6Q.md.png[/img][/url] [url=https://freeimage.host/i/Bo4MFV][img=300x300]https://iili.io/Bo4MFV.md.png[/img][/url] [url=https://freeimage.host/i/Bo4VcB][img=300x300]https://iili.io/Bo4VcB.md.png[/img][/url] [br][/br][br][/br][br][/br][br][/br][img]https://beyondhd.co/images/2021/05/02/6d61ce3c20451cdc3267f9879b9485e1.png[/img][/center]', 'live': '0', 'anon': '1', 'category_id': '1', 'type': '1080p', 'source': 'WEB', 'imdb_id': '9848124', 'tmdb_id': None, 'tags': 'WEBDL'}
2021-05-04 14:23:48,266 | root | INFO | Files for BHD is [('file', <_io.BufferedReader name='/home/madskillz/xpbot/temp_upload/BHD-Pinkfong 50 Best Hits Baby Shark and More 2019 AMZN WEB-DL 1080p DDP 2.0 H.264-TROUT.torrent'>), ('mediainfo', <_io.BufferedReader name='/home/madskillz/xpbot/temp_upload/mediainfo.txt'>)]
2021-05-04 14:23:49,162 | root | INFO | POST Request: https://beyond-hd.me/api/upload/ea9b32385ca9869a839466b2aa9cdc9d
2021-05-04 14:23:49,162 | root | INFO | Response code: 200
2021-05-04 14:23:49,162 | root | INFO | upload response for BHD: b'{"status_code":1,"status_message":"Draft has been successfully saved.","success":true}'
2021-05-04 14:23:49,162 | root | INFO | Upload to BHD was a success!
2021-05-04 14:23:49,241 | root | INFO | Total runtime is 90.0132 seconds
2021-05-04 15:18:39,586 | root | INFO |  ------------------------ Starting new upload ------------------------ 
2021-05-04 15:18:41,155 | root | INFO | Running in regular '-path' mode, starting upload now
2021-05-04 15:18:41,159 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/temp_upload/
2021-05-04 15:18:41,163 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/images/screenshots/
2021-05-04 15:18:41,163 | root | INFO | uploading the following file: /home/madskillz/TROUT.720p/Pinkfong.50.Best.Hits.Baby.Shark.and.More.2019.AMZN.WEB-DL.720p.DDP.2.0.H.264-TROUT.mkv
2021-05-04 15:18:41,932 | root | INFO | Used regex to identify the video_codec: H.264
2021-05-04 15:18:41,958 | root | INFO | Used (pymediainfo + audio_codec_dict) to identify the audio codec: DDP
2021-05-04 15:18:41,984 | root | INFO | Generating mediainfo.txt
2021-05-04 15:18:41,984 | root | INFO | Using the following path in mediainfo.txt: Pinkfong.50.Best.Hits.Baby.Shark.and.More.2019.AMZN.WEB-DL.720p.DDP.2.0.H.264-TROUT.mkv
2021-05-04 15:18:42,008 | root | INFO | Saving mediainfo to: /home/madskillz/xpbot/temp_upload/mediainfo.txt
2021-05-04 15:18:42,029 | root | INFO | Used Regex to extract the WEB Source: AMZN
2021-05-04 15:18:42,030 | root | INFO | No custom 'edition' found for this torrent
2021-05-04 15:18:42,030 | root | INFO | We are missing 'tmdb' starting TMDB API request now
2021-05-04 15:18:42,449 | root | INFO | GET Request: {'movie_results': [], 'person_results': [], 'tv_results': [], 'tv_episode_results': [], 'tv_season_results': []}
2021-05-04 15:18:42,870 | root | INFO | GET Request: https://api.themoviedb.org/3/movie/None?api_key=2f426445f1e6100085f45800bfa7dccf
2021-05-04 15:18:42,902 | root | INFO | Using /home/madskillz/TROUT.720p/Pinkfong.50.Best.Hits.Baby.Shark.and.More.2019.AMZN.WEB-DL.720p.DDP.2.0.H.264-TROUT.mkv to generate screenshots
2021-05-04 15:18:43,165 | root | INFO | Taking a screenshot at 00:09:05
2021-05-04 15:18:43,429 | root | INFO | Taking a screenshot at 00:18:11
2021-05-04 15:18:43,792 | root | INFO | Taking a screenshot at 00:27:17
2021-05-04 15:18:44,055 | root | INFO | Taking a screenshot at 00:36:23
2021-05-04 15:18:44,324 | root | INFO | Taking a screenshot at 00:45:29
2021-05-04 15:18:44,634 | root | INFO | Taking a screenshot at 00:54:35
2021-05-04 15:18:53,932 | root | INFO | All 6 images have been upload to freeimage
2021-05-04 15:18:53,932 | root | INFO | We've uploaded 6 to freeimage
2021-05-04 15:18:53,940 | root | INFO | Now starting tracker specific tasks
2021-05-04 15:18:53,940 | root | INFO | Trying to upload to: BHD
2021-05-04 15:18:54,733 | root | INFO | Creating the .torrent file now
